time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration,latitude,longitude,elevation,country,city
2019-08-30,51,29.0,21.1,24.8,30.3,22.8,26.5,5:58:00 AM,6:14:00 PM,11.08,1.7,1.7,0,9,15.9,40.3,253,3.14,7.0999985,81.100006,652,Sri Lanka,Badulla
2019-08-31,51,30.4,20.9,25.1,31.8,22.5,26.5,5:58:00 AM,6:13:00 PM,20.2,0.1,0.1,0,1,19.0,52.6,241,4.88,7.0999985,81.100006,652,Sri Lanka,Badulla
2019-09-01,51,29.3,20.6,24.8,30.5,22.4,26.4,5:58:00 AM,6:13:00 PM,17.54,1.1,1.1,0,6,18.0,52.6,239,4.2,7.0999985,81.100006,652,Sri Lanka,Badulla
2019-09-02,51,30.4,20.5,25.5,32.1,22.2,27.2,5:58:00 AM,6:12:00 PM,21.51,0.4,0.4,0,3,15.6,42.1,238,5.06,7.0999985,81.100006,652,Sri Lanka,Badulla
2019-09-03,51,30.8,21.5,25.6,33.3,23.3,27.3,5:58:00 AM,6:12:00 PM,21.5,1.1,1.1,0,5,15.5,43.2,236,5.2,7.0999985,81.100006,652,Sri Lanka,Badulla
2019-09-04,51,31.2,21.4,25.8,32.9,23.1,27.3,5:57:00 AM,6:11:00 PM,21.57,0.7,0.7,0,3,18.5,46.4,235,5.31,7.0999985,81.100006,652,Sri Lanka,Badulla
2019-09-05,51,30.1,21.6,25.4,32.7,23.6,27.2,5:57:00 AM,6:11:00 PM,18.66,0.5,0.5,0,3,14.2,38.5,239,4.55,7.0999985,81.100006,652,Sri Lanka,Badulla
2019-09-06,51,30.4,21.5,26.0,33.2,23.6,27.8,5:57:00 AM,6:10:00 PM,21.72,1.2,1.2,0,4,13.7,41.4,246,5.16,7.0999985,81.100006,652,Sri Lanka,Badulla
2019-09-07,51,31.6,21.7,26.2,33.9,23.8,28.0,5:57:00 AM,6:10:00 PM,22.83,0.4,0.4,0,3,12.1,45.7,259,5.44,7.0999985,81.100006,652,Sri Lanka,Badulla
2019-09-08,1,32.3,21.0,26.7,34.7,23.1,28.1,5:57:00 AM,6:09:00 PM,24.73,0.0,0.0,0,0,10.8,34.6,278,5.94,7.0999985,81.100006,652,Sri Lanka,Badulla
2019-09-09,3,32.3,21.6,26.9,35.5,23.5,28.9,5:57:00 AM,6:09:00 PM,23.63,0.0,0.0,0,0,8.8,25.6,278,5.32,7.0999985,81.100006,652,Sri Lanka,Badulla
2019-09-10,51,32.0,22.2,26.7,35.8,24.0,28.9,5:57:00 AM,6:08:00 PM,23.37,2.4,2.4,0,8,10.3,27.7,261,5.47,7.0999985,81.100006,652,Sri Lanka,Badulla
2019-09-11,63,31.2,22.4,26.0,34.3,24.4,28.2,5:56:00 AM,6:08:00 PM,19.61,4.2,4.2,0,5,12.6,39.2,244,4.74,7.0999985,81.100006,652,Sri Lanka,Badulla
2019-09-12,61,29.5,21.4,24.7,32.2,24.3,27.5,5:56:00 AM,6:07:00 PM,17.99,6.9,6.9,0,10,12.7,37.8,244,3.87,7.0999985,81.100006,652,Sri Lanka,Badulla
2019-09-13,63,29.4,21.0,24.2,33.4,23.6,27.2,5:56:00 AM,6:07:00 PM,18.76,12.8,12.8,0,7,10.7,33.5,234,3.87,7.0999985,81.100006,652,Sri Lanka,Badulla
