sample_index,forecast_day,date,predicted,actual,error
1978,5,2022-12-26,34.54170608520508,1.0,33.54170608520508
2057,5,2022-12-26,34.020729064941406,1.0,33.020729064941406
2136,5,2022-12-26,33.4001350402832,1.0,32.4001350402832
1980,3,2022-12-26,23.29568099975586,1.0,22.29568099975586
2059,3,2022-12-26,23.144550323486328,1.0,22.144550323486328
2138,3,2022-12-26,23.134300231933594,1.0,22.134300231933594
1928,5,2022-11-06,21.4805965423584,1.100000023841858,20.380596160888672
2007,5,2022-11-06,21.377376556396484,1.100000023841858,20.277376174926758
2086,5,2022-11-06,21.195781707763672,1.100000023841858,20.095781326293945
2137,4,2022-12-26,20.698461532592773,1.0,19.698461532592773
1979,4,2022-12-26,20.290367126464844,1.0,19.290367126464844
2058,4,2022-12-26,20.058809280395508,1.0,19.058809280395508
1929,3,2022-11-05,69.18804931640625,52.599998474121094,16.588050842285156
1929,4,2022-11-06,17.193614959716797,1.100000023841858,16.09361457824707
2087,3,2022-11-05,68.68444061279297,52.599998474121094,16.084442138671875
2087,4,2022-11-06,17.02113151550293,1.100000023841858,15.921131134033203
2008,4,2022-11-06,16.74351692199707,1.100000023841858,15.643516540527344
83,4,2019-10-30,20.17011833190918,4.800000190734863,15.370118141174316
25,4,2019-10-30,20.015499114990234,4.800000190734863,15.215498924255371
1073,4,2021-10-27,14.73040771484375,0.30000001192092896,14.430407524108887
