time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration,latitude,longitude,elevation,country,city
2017-10-16,3,32.0,25.9,28.4,33.3,28.6,30.5,5:51:00 AM,5:50:00 PM,20.2,0.0,0.0,0,0,31.3,55.4,269,5.56,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-10-17,2,32.9,25.8,28.8,33.9,28.9,30.9,5:51:00 AM,5:50:00 PM,22.41,0.0,0.0,0,0,28.2,52.2,270,6.22,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-10-18,3,32.3,25.7,28.3,34.3,28.8,31.0,5:51:00 AM,5:49:00 PM,19.71,0.0,0.0,0,0,27.3,51.8,260,5.24,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-10-19,51,31.3,25.8,27.9,34.6,29.1,31.2,5:51:00 AM,5:49:00 PM,19.2,1.2,1.2,0,6,23.5,48.2,251,4.66,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-10-20,51,30.7,25.6,27.9,34.0,29.6,31.3,5:51:00 AM,5:49:00 PM,19.57,0.8,0.8,0,6,24.6,50.0,246,4.55,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-10-21,51,32.1,25.5,28.1,35.1,29.7,31.7,5:51:00 AM,5:48:00 PM,23.48,0.8,0.8,0,5,24.3,46.4,240,5.41,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-10-22,51,32.1,25.3,28.3,35.7,29.4,31.8,5:51:00 AM,5:48:00 PM,21.45,0.2,0.2,0,2,22.8,44.3,253,5.16,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-10-23,53,32.3,25.5,28.5,35.5,29.6,32.4,5:51:00 AM,5:48:00 PM,19.79,1.1,1.1,0,2,22.3,42.1,252,4.73,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-10-24,63,32.8,25.8,28.1,37.9,30.9,33.2,5:51:00 AM,5:48:00 PM,20.77,4.7,4.7,0,4,14.3,29.5,259,4.6,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-10-25,55,31.0,24.1,26.8,36.2,29.0,31.9,5:51:00 AM,5:47:00 PM,14.39,5.5,5.5,0,12,8.2,20.9,173,3.13,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-10-26,63,30.8,24.0,27.2,36.9,29.0,32.1,5:51:00 AM,5:47:00 PM,21.59,5.0,5.0,0,2,14.0,32.0,233,4.43,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-10-27,51,31.0,24.6,27.3,36.3,29.6,32.3,5:51:00 AM,5:47:00 PM,20.48,0.6,0.6,0,4,14.5,30.2,252,4.38,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-10-28,55,30.7,24.8,26.9,36.8,29.8,32.2,5:51:00 AM,5:46:00 PM,19.8,2.8,2.8,0,7,10.0,23.4,295,4.08,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-10-29,63,30.0,24.6,26.6,35.4,30.0,32.0,5:51:00 AM,5:46:00 PM,16.17,10.7,10.7,0,13,8.4,23.4,165,3.38,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-10-30,63,29.7,24.9,26.6,36.1,29.9,31.7,5:51:00 AM,5:46:00 PM,16.47,12.8,12.8,0,8,13.6,25.6,245,3.42,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-10-31,53,28.8,24.8,26.7,31.6,29.4,30.4,5:51:00 AM,5:46:00 PM,11.42,2.6,2.6,0,10,20.6,35.6,267,2.82,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-01,53,28.6,24.8,26.5,33.9,29.5,31.5,5:51:00 AM,5:46:00 PM,12.99,2.0,2.0,0,8,10.2,28.1,252,2.76,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-02,53,30.5,24.6,27.0,35.1,28.9,31.7,5:52:00 AM,5:46:00 PM,16.34,1.8,1.8,0,7,15.7,29.9,274,3.51,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-03,53,30.1,24.4,26.6,36.0,29.6,31.8,5:52:00 AM,5:45:00 PM,18.95,4.5,4.5,0,16,10.6,22.3,98,3.84,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-04,55,29.2,24.6,26.5,35.3,29.3,31.8,5:52:00 AM,5:45:00 PM,17.96,5.6,5.6,0,11,10.4,23.0,86,3.58,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-05,63,28.3,24.6,25.7,33.3,29.2,30.7,5:52:00 AM,5:45:00 PM,12.13,17.9,17.9,0,17,13.0,28.4,61,2.43,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-06,63,29.2,24.4,26.0,34.4,29.0,31.2,5:52:00 AM,5:45:00 PM,12.99,16.6,16.6,0,20,10.5,25.9,69,2.69,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-07,63,28.4,24.4,25.4,33.8,28.7,30.4,5:52:00 AM,5:45:00 PM,9.59,22.1,22.1,0,20,9.4,23.0,61,2.0,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-08,63,29.8,24.5,26.4,35.7,29.0,31.5,5:53:00 AM,5:45:00 PM,17.86,20.5,20.5,0,13,10.0,27.7,59,3.63,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-09,63,29.5,24.5,26.3,36.0,29.4,31.9,5:53:00 AM,5:45:00 PM,16.11,9.7,9.7,0,14,8.9,19.8,218,3.32,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-10,51,29.0,24.6,26.9,34.4,29.3,31.6,5:53:00 AM,5:45:00 PM,13.79,0.5,0.5,0,3,11.6,24.5,268,3.13,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-11,53,30.0,24.5,26.5,36.0,28.9,31.7,5:53:00 AM,5:45:00 PM,17.56,1.7,1.7,0,5,9.9,25.9,297,3.64,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-12,2,30.6,24.7,27.4,35.4,28.8,31.9,5:54:00 AM,5:45:00 PM,19.04,0.0,0.0,0,0,16.9,28.4,265,4.2,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-13,51,30.3,25.1,27.3,34.4,28.8,31.0,5:54:00 AM,5:45:00 PM,21.14,0.2,0.2,0,2,21.5,41.0,253,4.59,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-14,51,29.3,25.1,27.1,33.3,29.1,30.8,5:54:00 AM,5:45:00 PM,20.03,0.3,0.3,0,2,23.4,42.8,250,4.25,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-15,1,31.2,24.8,27.6,35.2,29.0,31.4,5:54:00 AM,5:45:00 PM,23.27,0.0,0.0,0,0,18.3,33.5,263,5.12,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-16,1,31.0,24.3,27.6,36.5,28.8,32.1,5:55:00 AM,5:45:00 PM,21.75,0.0,0.0,0,0,11.3,23.0,272,4.68,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-17,51,31.4,24.2,27.5,37.4,28.6,32.6,5:55:00 AM,5:45:00 PM,23.52,1.5,1.5,0,5,7.9,20.2,244,4.89,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-18,51,29.9,24.5,26.9,35.9,29.6,32.3,5:55:00 AM,5:45:00 PM,20.42,1.1,1.1,0,6,9.9,22.7,85,4.17,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-19,63,29.7,24.7,26.5,36.0,30.0,31.8,5:56:00 AM,5:45:00 PM,16.23,4.8,4.8,0,10,8.1,21.6,68,3.33,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-20,61,29.0,24.4,26.0,34.9,29.0,30.9,5:56:00 AM,5:45:00 PM,13.47,3.3,3.3,0,5,12.8,27.0,80,2.76,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-21,51,30.3,24.4,26.8,35.6,29.5,32.1,5:56:00 AM,5:46:00 PM,20.38,0.6,0.6,0,2,13.0,27.4,90,4.13,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-22,53,29.8,24.1,26.7,35.5,29.0,32.1,5:57:00 AM,5:46:00 PM,18.38,2.1,2.1,0,7,6.9,24.1,180,3.73,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-23,61,29.8,24.4,26.4,35.4,30.0,31.8,5:57:00 AM,5:46:00 PM,15.78,7.3,7.3,0,12,9.9,29.2,233,3.26,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-24,61,29.4,24.6,26.7,33.0,29.1,30.8,5:57:00 AM,5:46:00 PM,11.56,3.2,3.2,0,7,12.5,23.4,57,2.74,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-25,61,26.4,23.7,24.8,30.0,28.0,28.9,5:58:00 AM,5:46:00 PM,6.19,12.0,12.0,0,14,9.2,16.2,119,1.51,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-26,55,27.1,23.5,25.2,31.9,28.0,30.1,5:58:00 AM,5:46:00 PM,8.76,3.2,3.2,0,8,5.9,15.1,243,1.88,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-27,63,28.4,23.9,25.7,33.8,28.5,30.8,5:59:00 AM,5:47:00 PM,13.96,5.0,5.0,0,3,8.2,25.9,251,2.87,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-28,63,27.5,24.4,25.2,32.1,28.0,30.0,5:59:00 AM,5:47:00 PM,8.97,41.0,41.0,0,17,14.5,42.1,87,1.86,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-29,63,25.7,24.7,25.3,29.7,27.4,28.5,5:59:00 AM,5:47:00 PM,4.16,41.7,41.7,0,24,28.4,51.8,162,1.16,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-11-30,63,27.7,24.4,25.4,31.6,28.4,29.7,6:00:00 AM,5:48:00 PM,10.45,44.3,44.3,0,24,18.0,38.2,235,2.06,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-12-01,63,25.7,24.1,24.9,29.5,28.1,29.1,6:00:00 AM,5:48:00 PM,4.63,29.4,29.4,0,24,17.5,38.5,257,1.04,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-12-02,53,28.4,24.1,26.1,32.7,28.4,30.8,6:01:00 AM,5:48:00 PM,12.87,4.3,4.3,0,11,14.9,39.6,277,2.69,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-12-03,51,29.0,24.1,26.0,35.5,28.9,31.3,6:01:00 AM,5:48:00 PM,17.23,1.5,1.5,0,8,8.8,23.4,89,3.54,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-12-04,63,28.9,23.8,25.8,34.3,28.1,31.0,6:02:00 AM,5:49:00 PM,13.65,11.6,11.6,0,14,8.7,18.4,150,2.82,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-12-05,51,29.2,23.8,26.1,35.3,27.7,31.0,6:02:00 AM,5:49:00 PM,17.78,0.4,0.4,0,2,10.6,19.8,110,3.59,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-12-06,53,28.9,23.2,25.8,34.4,27.7,31.0,6:03:00 AM,5:50:00 PM,17.57,1.6,1.6,0,3,8.4,21.6,140,3.53,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-12-07,61,28.8,22.8,25.7,34.9,27.1,30.9,6:03:00 AM,5:50:00 PM,18.09,3.6,3.6,0,5,11.1,24.8,265,3.52,6.2000046,81.20001,12,Sri Lanka,Hambantota
2017-12-08,51,28.8,23.0,25.9,35.2,27.5,31.1,6:04:00 AM,5:50:00 PM,19.3,1.0,1.0,0,5,7.6,17.3,86,3.82,6.2000046,81.20001,12,Sri Lanka,Hambantota
